nco_code,title,description
6224.0800,ISCO 08 Unit Group Details:,"Code 6224 Title Hunters and Trappers 6224.1000 Fish Curer Fish Curer salts, cures and preserves fish to prevent putrefaction and for use over long periods. Washes fish with water and cuts off head, fins, tail etc. as necessary. Opens out stomach with knife and removes viscera, gills etc. to prevent putrefaction. Applies salt to cleaned fish either one by one or in lot to preserve 631 Subsistence Crop Farmers 632 Subsistence Livestock Farmers 633 Subsistence Mixed Crop and Livestock Farmers 634 Subsistence Fishers, Hunters, Trappers and Gatherers 71 Building and Related Trade Workers (Excluding Electricians) 72 Metal, Machinery and Related Trades Workers 73 Handicraft and Printing Workers 74 Electrical and Electronics Trades Workers 75 Food Processing, Woodworking, Garment and Other Craft and Related Trades Workers House Builders Bricklayers and Related Workers"
7113,"Stonemasons, Stone Cutters,","Splitters and Carvers Carpenters and Joiners Building Frame and Related Traders Workers, Not Elsewhere Classified foundation, lowers engine on foundation by chain block and secures it in position with bolts and nuts. Determines propeller shaft alignment and bolts shaft to engine plates, walls etc. using pencil brushes and"
7132.0300,,"palette. Prepares layout for sign writing, coats back-ground with paint, using paint brushes and allows it to dry. Sketches out lines with free hand in chalk or pencil or gets them marked by dusting on stencils. Mixes paints and pigments to get desired colour consistency and fills in marked out lines of letters and designs with paint using pencil brushes of various sizes. May make signs by cutting out and sticking gold lead lettering to surfaces. May cut stencils and paint signs by brushing and spraying paint over them. May make signs Metal Moulders and Core Makers"
7212,Welders and Flame Cutters,"Structural Metal Preparers and Erectors Riggers and Cable Splicers using arc-welding apparatus and electrodes (welding material). Examines parts to be welded, cleans them and sets joints together with clamps or any other suitable device. Starts generator or levels edges of sections to be joined. Fits section into place and fuses section together by moving flame of lamp along joints or by heating joints with lamp and adding lead from rod or ladle. Makes lead fittings and pipes by cutting, shaping and joining. May fuse, cut or make lead parts of storage battery, tanks, etc. by operating bad burning machine, or using oxyacetylene or oxyhydrogen torch. Title Welders and Flame Cutters"
7212.0501,,"7212.0700 Welder, Resistance Welder, Resistance sets up and operates resistance welding machine to join metal parts, according to blueprints, work orders, or oral instructions. Turns machine dials to set air and hydraulic pressure, amperage, and joining time, according to specified type of metal, weld, and together various parts of heavy structures"
7221,"Blacksmiths, Hammersmiths and",Village Blacksmith Forging Press Workers
7222,Tool Makers and Related Workers,Village Blacksmith forges domestic and
7223,Metal Working Machine Tool,"agricultural articles, used in villages, by Setters and Operators repeated heating and hammering."
7224,"Metal Polishers, Wheel Grinders","Examines sample for shape and size. and Tool Sharpeners Heats specified type and length of metal parts thoroughly. Assembles parts one by one in order of sequence with hand tools readjusts if necessary and locks respective positions. Controls flow of coolant while drilling. Checks hole for accuracy. Repeats drilling operation over wide area of metal by stretching radial arm and adjusting position of carriage and drilling spindle over hole to be drilled. Is designated as TOWER DRILLING MACHINE OPERATOR if engaged in operating tower drilling machine to drill large number of uniform holes in big plates, columns etc. by adjusting position of travelling tower in relation to location of holes to be drilled. May clean and oil machine. May grind drills. May cut screws with tapping arrangement and do reaming and counter boring where needed. ISCO 08 Unit Group Details: Code 7223 Title Metal Working Machine Tool Borer/Operator Boring Machine Operator"
7223.1600,,"Borer bores holes in metal objects for various mechanical purposes by means of boring bars and boring machine. Examines drawings and other specifications of holes to be bored. Fastens metal object accurately in position on machine table, using jigs and fixtures as required. Selects boring bar and fixes it in machine spindle. Centres hole accurately using cutting tool as guide and adjusting object to desired position. Selects and sets speed and feed of machine. Starts machine to rotate cutting tool or object depending on type of machine operated and moves levers to advance cutting tool into position to start boring. Controls flow of cutting lubricant Alignment & Balancing NSQF Level 3 ISCO 08 Unit Group Details: Code 7233 Code 7233 Title Agricultural and Industrial Machinery Mechanics and 7233.0301 Bearing Maintenance"
7233.0300,,"Bearing Maintenance, identify problems in the equipment, recti root causes for leakages, replac bearings, lubricates the bearings, e fitness of all types of bearings in th and carry out routine maintenance. Qualification Pack Details: QP NOS Reference ISC/Q0816 QP NOS Name Bearing Maintenance NSQF Level 3 ISCO 08 Unit Group Details: Code 7233 Title Agricultural and Industrial Machinery Mechanics and Repairers Code 7233 Title Agricultural and Industrial Machinery Mechanics and Repairers 7233.0402 Conveyor Operation and Maintenance Conveyor Operation and Maintenance inspects the total belt driving system including the controls of conveyer belt as per the required sequence for feeding different raw materials (coal, limestone, iron ore etc.) in the service bunker through crushers/screener etc. This also involves basic maintenance and troubleshooting of the conveyer belt system. Qualification Pack Details: QP NOS Reference ISC/Q0008 QP NOS Name Conveyor Operation and Maintenance NSQF Level 3 QP NOS Name Mobile Equipment Maintenance NSQF Level 3"
7233.0700,,"ISCO 08 Unit Group Details: Code 7233 Title Agricultural and Industrial earth Machinery Mechanics and Repairers 7233.0800 repair Mechanic, Road Roller to Mechanic, Road-Roller repairs and overhauls engine transmission system, plugs, chassis components and accessories of light or heavy road roller to ensure efficient performance. Inspects and tests and road rollers to locate defects. Dismantles engine and other sub-assemblies, partly or completely according to nature of defects. makes Repairs or replaces damaged parts of to different sub-assemblies fuel injections performing simple machine and fitting operations where required. Checks condition of engine parts such as piston, rings, valves, steam whistle, reversing gear, auto-positive injector in steam engine or plunger, governor, atomiser etc. lubricates turbine blades. May operate turbine. May Tightens loose repair and service mechanical equipment in power house. May oil and grease vehicle in lubricating points of plant (turbo engine or alternator or turbo-generator) and equipment. May erect turbine alternators systems are or generators under guidance of braze, solder Mechanical or Electrical Engineer in power vehicle on houses. or steam ISCO 08 Unit Group Details: Code 7233 Title Agricultural and Industrial 7233.1000 Mechanic, Stationery Steam Engine"
7233.0900,,"Mechanic, Stationary Steam Engine repairs, services and overhauls steam engine for correct performance. Examines defects and steam pipes, joints, valves etc. to guidance of ascertain nature and location of defects and dismantles them partly or wholly as turbines and necessary to remove damaged or worn to out parts. Replaces or repairs damaged and worn part by remitting, filling, of grinding and scraping etc. and measures them for size to ensure functional defects and accuracy. Checks alignments with gauges and spirit level and assembles parts and scraping etc., complete unit doing supplementary tooling as necessary to ensure accuracy of fit. Tests reassembled equipment, sets valves, adjusts control and makes adjustments, necessary adjustments. Starts engine, observes gauges and meters to ascertain engine performance, balances etc. and by makes further adjustments if necessary. Checks, adjusts lubricates working parts, tightens loose parts and performs other servicing tasks periodically to keep engine from in good running condition. Reports to Code 7233 Title Agricultural and Industrial Machinery Mechanics and Repairers 7233.1400 Mechanic, Dairy Maintenance Mechanic, Dairy Maintenance repairs and services dairy equipment to maintain them in working condition. Repairs and services bottle and can-washers, soakers, butter and cheese packing and sealing equipment, pasteurizers milk evaporators, etc. replaces defective wiring, burnt fuses, worn switches and connects electric motors. Repairs and installs pumps, fits water and gas pipes and repairs leaky joints by general fitting operation, using hand tools or by simple welding, as necessary. May clean and re-assemble refrigeration units, regulate boiler supply ISCO 08 Unit Group Details: Code 7233"
7233.1301,Title Agricultural and Industrial,Machinery Mechanics and Repairers
7233.2901,,"kit on test bench with testing engine and gives various connections like fuel supply, pressure gauge etc. Sets machine speed and pressure and starts testing pump. Observes machine running at prescribed speed and collects oil output in calibrated test tubes. Ensures that output of oil is as per specifications and makes necessary adjustment to plunger sleeve of pump to get quantity of oil from each nozzle. Conducts face angle tests to pump oil at correct timing and rectifies defects, if any. Window opener works with dop-tang system to make an opening or a window on the rough diamond by polishing it on the polishing wheel or scaife in order to observe and map internal features of the diamond prior to cutting and planning, while maintaining minimal weight loss. Qualification Pack Details: QP NOS Reference G&J/Q4101 QP NOS Name Window Opener NSQF Level 4 Title Jewellery and Precision Metal"
7313.1701,Workers,"7313.1800 Jewellery Engraver Jewellery Engraver engraves ornamental designs or letters on ornaments and jewellery using fine chisels and hand tools. Draws in pencil required design to be engraved, on paper, if ornament is fairly big or else draws design on ornament itself using fine steel point. Transfers design from paper to ornament by placing designed paper on surface of metal coated with wax solution and rubbing surface of paper to leave impression of Inlayer, Metal sets gold or silver wire on metal plates according to design using hand tools and produces colour effect by heat treatment. Secures sized plate on base using lac. Applies chalk solution on plate and copies design or draws freehand-sketch on it. Cuts design on it object on work bench and applies paints of various colours to it by hand brush and according to pattern; keeps painted ware water is sprinkled on them. Collects dry khas roots; prepares bamboo frames of required size; spreads layers of khas roots to make bed of required thickness and fastens it into bamboo frame with bamboo splinters to support on both sides and binds them with thin rope or sutli; trims edges to complete screen. ISCO 08 Unit Group Details: Code 7317 Title Handicraft Workers in Wood, Basketry and Related Materials 7317.1300 Brush Material Preparer prepares hog bristles and other brush filling materials, such as horsehair, nylon and vegetable"
7317.1100,fibres for use in brushes. Aligns bristles to,"ensure that flagged ends are together and discards defective ones. Ties bundle of bristles to prevent bending and places it on rack. Lowers rack of bundles into vat of boiling water to remove natural curl of bristle. Removes rack after specified time and places it on dolly or in oven to dry. Places bundle of bristles in carton and labels carton according to length, origin, grade and colour of contents. Prepares other brush-filling materials by"
7318.4300,,
7318.4600,,"Lithographic Artist exposes sensitized metal plate to positive or negative film, using vacuum frame, to produce offset lithographic printing plates. Increases or halftone negatives or positives to be used"
7321.0700,in preparation of,"lithographic printing plates. Punches holes in light-sensitive plate with register punch and insert register pins in holes to prepare plate for contact with positive or negative film. Places plate on bed of vacuum frame and inserts positives or negatives on register pins to align positives or negatives with each other. Places masking paper on areas of plate not covered by positives or negatives to prevent exposure of those areas. Examines film on light table to determine specified colour and colour balance, using magnifying glass or densitometer. Compares proof print of colour separation negative or positive with customer’s original sample or copy and standard colour chart to determine accuracy of reproduction. Identifies and marks colour discrepancies on print and film. Prepares dyes or other chemical solutions according to standard formulas and applies solution to produce colour effect by chemical method. Blocks out or modifies colour shades of film, using template, brushes, and opaque. Places masks over separation negatives or positives and exposes film for specified time, using contact frame and automatic film processors to reduce size of operates cylinder or platen automatic printing machine. Fixes imposed type on bed of machine. Adjusts roller, flow of ink, automatic feeder and speed of machine, Building and Related Electricians"
7412,Electrical Mechanics and Fitters,"Electrical and Electronic Equipment Mechanics and Fitters and Related Workers, Not Elsewhere Classified Electronics and telecommunications installers and repairers fit, maintain, adjust and repair electronic equipment and electronic instruments and control systems and install, repair and maintain telecommunications equipment, data transmission equipment, cables, antennae Qualification Pack Details: QP NOS Reference ELE/Q0111 QP NOS Name Testing Technician- Passive components NSQF Level 4 Title Electronic Mechanics and Servicers"
7421.1201,,"7421.1301 TV Repair Technician TV Repair Technician is also, called ‘Field Technician–TV’, the TV Repair Technician for provides after sales service to customers. The individual at work interacts with customers to install the TV as well as diagnose the problem and assess possible causes of fault reported. Once the problem and causes have been identified, the individual rectifies minor problems or replaces faulty modules for failed parts or recommends factory repairs for bigger faults. TEL/Q6500 751 Food Processing and Related Trade Workers 753 Garment and Related Trades Workers 754 Other Craft and Related Workers"
7531,"Tailors, Dress Makers, Furriers and",ISCO 08 Unit Group Details: Hatters Code 7531
7532,Garment and Related Pattern,"Title Tailors, Dress Makers, Furriers and Makers and Cutters `Hatters"
7533,"Sewing, Embroiderers and Related",Workers 7531.0101
7534,Upholsterers and Related Workers,Sampling Tailor
7535,"Pelt Dressers, Tanners and",Sampling tailor is responsible for Fellmongers developing garment sample as per buyer’s
7536,Shoemakers and Related Workers,"sewed together from cloth, canvas, etc., using scissors. Spreads single or multiple layers of cloth, fabric or other material to be cut on table or board. Places pattern on material in such position as to have cotton, rubber foam moss, other padding materials, rexine, leather, etc. as required. Cuts and tacks hessian cloth, sets padding and fastens it in position. Measures and cuts covering material and tacks it in position. Trims excess materials and conceals edges by tacking leather or rexine tape. Replaces or repairs raw hide covering of artificial limbs. May renew upholstery of wheeled chairs and"
7534.0100,orthopaedic appliances. May repair shoes,"for deformed feet. ISCO 08 Unit Group Details: Code 7534 Title Upholsterers and Related Workers 7534.0300 Upholsterer, Vehicle Upholsterer, Vehicle installs covering and cushioning for seats and for other furnishings on motor cars, carts, railway coaches, aircrafts and other types of vehicles. Takes measurements for furnishings or works from drawings. Cuts out materials. Makes and fits springs, padding and covering to seats. Fits lining lime tank to soak thoroughly (completely immersed in lime solution for a specified time);changes positions of skins or hides periodically in tank to ensure that all skins to prepare pours colouring drum and adds oil starts machine to for specified removes dyed DYER, VAT operates machine to imprint designs on leather or leather articles, such as wallets, cushion and key cases. Selects specified embossing plate, bolts plate into chase, positions and secures chase into ram of machine; turns Shoe Maker, Orthopaedic makes complete footwear, mainly of leather, for customers with foot or leg deformities. Studies drawings and other specifications or takes necessary measurements to make footwear according to customer’s need. Selects leather and gets special last made to suit necessity if required. Prepares patterns, chooses materials and cuts out parts by hand as per patterns made. Thins edges of parts of upper by cutting or shaving. Presses and bends parts into shape, glues lining to leather parts and sews them together. Punches eyelet holes and inserts eyelets. Tacks insole to last, pulls upper on to last to give it required shape and checks alignment of toe and heel of upper. Builds up sole where required, folds bottom of upper over edge of insole or built-up middle sole, fixes them together and fixes outer sole to upper. Builds up and fixes heel. Trims and smooths where necessary, applies inked wax stain or paint where required, inserts thin inner sole and gives final finish. May do ornamental nicking. May take plaster casts of deformed leg or foot and prepare drawings. May use prepared uppers with necessary different parts of article to be made on sheet of leather, plastic or other synthetic material and cuts them out with pair of"
7541,Underwater Divers,ISCO 08 Unit Group Details:
7542,Shotfirers and Blasters,Code 7541
7543,Product Graders and Testers,Title Underwater Divers (Excluding Food and Beverages)
7544,Fumigators and Other Pest and,"7541.0200 Weed Controllers Diver, Chank"
7549,"Craft and Related Workers, Not",Elsewhere Classified LINING EXAMINER QP NOS Name In-Line checker UPPER EXAMINER NSQF Level 3 CLOSING EXAMINER FINAL EXAMINER ISCO 08 Unit Group Details: team. Qualification Pack Details: QP NOS Reference ELE/Q3602 QP NOS Name Functional Tester- TV ISCO 08 Unit Group Details: Code 7543
7543.1001,,"Title Product Graders and Testers (Excluding Food and Beverages) 7543.1003 Safety Testing Technician-TV Safety Testing Technician-TV is also call ‘Safety Inspector’, is responsible f assuring that the TV set meets prescrib safety standards. The individual at wo tests safety parameters of the assembl refrigerator or air conditioner or washi machine or other home appliances as BIS, ISI or other standards. Qualification Pack Details: QP NOS Reference ELE/Q3603 QP NOS Name Safety Testing Technician-TV NSQF Level 3 performance. Qualification Pack Details: QP NOS Reference AMH/Q2201 QP NOS Name Factory Compliance Auditor NSQF Level #N/A Code 7543 Title Product Graders and Testers"
7543.3005,(Excluding Food and Beverages),"7543.5001 Sampling Co-ordinator Sampling Co-ordinator plans, handles and monitors new product development, regular follow up with all sampling like: proto sample, size sets, fit samples and Qualification Pack Details: QP NOS Reference AMH/Q 1801 QP NOS Name Sampling Co- ordinator NSQF Level #N/A 811 Mining and Mineral Processing Plant Operators 812 Metal Processing and Finishing Plant Operators 813 Chemical and Photographic Products Plant and Machine Operators 814 Rubber, Plastic and Paper Products Machine Operators 815 Textile, Fur and Leather Products Machine Operators 816 Food and Related Products Machine Operators 817 Wood Processing and Paper Making Plant Operators 818 Other Stationary Plant and an Machine Operators 8111 Miners and Quarriers 8112 Mineral and Stone Processing Plant Operators 8113 Well Drillers and Borers and Related Workers 8114 Cement, Stone and Other Mineral Products Machine Operators using power drill, crow bar, chisel hammer etc. Removes rubbish and erects roof supports. May drill shot holes for bringing down roof or blowing floor. May build roadways and pack walls of air ways. Title Miners and Quarriers"
8111.1100,,"8111.1300 Roof Bolter, Mining Roof Bolter, Mining operates machinery to install roof support bolts in underground mine. Drill bolt holes into roofs at specified distances from ribs or adjacent bolts. Forces bolts into holes, using hydraulic mechanisms of self- propelled bolting machines. Installs truss bolts traversing entire ceiling spans. Positions bolting machines, and insert drill bits into chucks. Positions safety jacks to support underground mine roofs until bolts can be installed. Removes drill bits from chucks after drilling holes, then inserts bolts into chucks. Rotates chucks to turn bolts and open expansion heads against rock formations. Tests bolts for specified tension, using torque wrenches. Tightens ends of anchored truss bolts, ISCO 08 Unit Group Details:"
8111.1200,Code 8111,"Title Miners and Quarriers 8111.1400 Mine Cutting and Channelling Machine Operator Mine Cutting and Channelling Machine Operator operates machinery, such as sample section, chisels out mineral samples from grooves and marks them for analysis. Determines and marks sample section according to rock surface and grades of mineralisation for groove cutting. Examines grooves cut by groove cutter along mineral bearing rock faces and gets defective cutting re-cut by groove cutter along mineral bearing rock faces and gets defective cutting re-cut by groove cutter. Checks groove distances from fixed points using ladder and rope. Cuts samples from grooves and different section of mine to obtain representative samples. Bags and marks sample with details of location and sends them to laboratory for analysis. May estimate quantity and grades of deposit contained in marked position by taking necessary measurements. May plot location of samples taken from working faces on ISCO 08 Unit Group Details:"
8111.1800,Code 8111,"Title Miners and Quarriers 8111.2000 Groove Cutter, Mining Groove Cutter, Mining cuts groove of specified dimensions along marks made by sampler for extracting sample from metal bearing rock faces in mine. Marks grooves along mineralised portion of rock Fettler (Brick and Tile) grinds and sands ceramic products, such as clay slabs, refractory tiles, ceramic tiles, and bisque tiles to remove defects, press marks, or Mineral Products Larry Car Driver, Furnace; Scale Car Driver, Other include Furnace operates and loads larry car and monitor (electric car run on track) with raw material (limestone, iron-ore, etc.) as per instructions of Stock House Foreman or Control Man Blast Furnace from cast stone for respective bunkers and unloads the Minto not elsewhere skip for charging into blast furnace. Receives instructions from Stock House Foreman regarding sequence, proportion and rate of charging of different raw loads container (fitted to car) with proper quantities of raw material keeping watch car to unloading platform and unloads contents into skip either by tilting or drop bottom system. Keeps Stock House Foreman and Control Man informed of Finishing Plant charging rate. May also maintain bunker Belt Press Operator; Pressing Machine Operator (Abrasive) presses glued ends of abrasive coated cloth or paper belt by pneumatic pressing machine to form endless belt. Collects abrasive coated material; applies glue over skived ends of belt with hand brush; joins one end of belt over another carefully to form continuous and endless belt without ridges at joint; sets pneumatic pressing machine and places joined end of belt over platen of machine; operates foot pedal of machine to lower upper ram of machine and press joint of abrasive belt at set pressure; removes material when press opens up automatically after set period. May trim edges with hand scissors. Title Metal Finishing, Plating and Coating Machine Operators"
8122.7300,,"8122.7500 Roll Winding Machine Operator (Abrasive) Roll Winding Machine Operator; Take Down Machine Operator (Abrasive) operates roll winding machine to wind abrasive paper or cloth coming in continuous lengths, into rolls of prescribed size. Fixes empty spool to machine and clamps it securely; draws by hand, roll of paper or cloth coming from drying chamber and rolls it over empty spool giving few turns for holding it firmly; by operating valves, pumps or loaders; starts machine to mix materials thoroughly; until mixing process is removes mixture from container; cleans machine and man (Match) operates a and mixing mill to make for match heads and match and measures chemical according to formulae; fills with chemical ingredients and quantity of water to it; by operating hand lever and compound of required stops mill and compound into empty drum machine immersed inside drum; starts machine to are thoroughly mixed and drum to be collected by paste, gum, or other adhesives according to formulae in steam jacketed kettles. Collects specified quantities of dry flour, corn-starch, tapioca, washing soda, copper sulphate and other ingredients to prepare desired adhesive paste. Prepares copper sulphate solution by mixing copper sulphate powder with specified quantity of water; fills drum fitted with steam jacket with measured quantity of dry ingredients according to formulae and adds requisite quantity of water and copper sulphate solution in it; closes lid of specified period observing thermometer to maintain required temperature; opens"
8131.1700,valve to drain solution into container,"when specified consistency is obtained. May draw off and send sample of glue to Chemist for test. ISCO 08 Unit Group Details: Code 8131 Title Chemical Products Plant and Machine Operators 8131.2100 Ammonia Operator/Ammonia Plant Operator Ammonia Operator controls converter and auxiliary equipment that combine hydrogen and nitrogen to produce anhydrous ammonia: Lights burner and starts pumps, compressors, scrubbers, and absorption units. Moves controls on panel board to regulate temperatures of combustion chamber of burner, where nitrogen driven from air combines with from bacteria. Washes vials and ampoules with soap, water and brush; again cleans develops them in chemical baths (developing and fixing solutions) for"
8132.0600,,"varying but timed periods; washes developed prints in cold running water; dries wet prints under shady conditions. May fit colour filters for taking colour prints. May repair and overhaul printing machine. ISCO 08 Unit Group Details: Code 8132 Title Photographic Products Machine Operators 8132.0800 Film Developing Machine Operator Film Developing Machine Operator; Developer, Films operates film developing for drying. Removes completed form from moulds after specified period; trims and smoothens edges, using sand paper, and"
8151,"Fibre Preparing, Spinning and",and oils machine. May cut hard kn Winding Machine Operators detected in woollen waste yarn with
8152,Weaving and Knitting Machine,Operators ISCO 08 Unit Group Details:
8153,Sewing Machine Operators,Code 8151
8154,"Bleaching, Dyeing and Cleaning","Title Fibre Preparing, Spinning and Machine Operators Winding Machine Operators"
8155,Fur and Leather Preparing,Machine Operators 8151.0300
8156,Shoe Making and Related Machine,Rag Machine Man (Woollen Operators Textile)
8157,Laundry Machine Operators,
8152.1300,,
8152.1600,,"ends during run of machine, slows down machine, twists together broken ends of corresponding ends and returns machine to normal speed. Ensures that yarn receives proper amount and consistency of size and is being dried sufficiently. Stops machine when required amount of warp has been wound on weaver's beam. Cuts warp yarn, ties ends into 2 to 3 bunches or ties a gum tape and removes weaver's beam with overhead hoist or by hand. Supervises work of Back Sizer. Cleans and oils machine. ISCO 08 Unit Group Details: Code 8152 Title Weaving and Knitting Machine Operators 8152.2100 Back Sizer Back Sizer (Cotton Textile) assists Front back creel of machine by hand or by"
8152.2000,chain-pulley and in drawing ends through,machine. Places lease strings across warp ends coming from warp beams to divide them into different layers. Detects broken ends at rear of machine and joins them together. Maintains required quantity and temperature of sizing solution in sow-box shuttle of machine. Pulls thread through Operator glazes or gives glossy finish to leather by operating glazing machine through shoe parts to be joined. Releases pedal and takes out nailed pieces. Checks and ensures correct nailing by sight and touch. Cleans and oils machine and gets defects removed when required to ensure (hollow cylinder for winding yearn or wire) of brass screw wire. Opens spindle cover and sets spool on it. Draws end of wire hand or electrically driven air to drum. Stops or machine and ensures that is removed. May operate
8157.0300,,"Machine; Dry Cleaning cleans and disinfects silken garments, textile or petroleum product power-driven cleaning articles in drum of fastens cover. Operates chemical solution into to mix skimmed milk powder and water to form toned milk. Opens taps to admit specified quantity of water into tank as indicated by meter; measures required quantity of milk powder and adds it into tank; switches on machine which churns and mixes powder and water into milk; tests sample to ensure conformity to specification, using testing apparatus; empties tank, cleans and sterilizes equipment. ISCO 08 Unit Group Details: Code 8160 Title Food and Related Products Machine Operators"
8160.0300,8160.0500,"Dairy Processing Equipment Operator Dairy Processing Equipment Operator operates continuous flow or vat-type equipment to process milk, cream, and other dairy products, following specified methods and formulae: Connects pipes between vats and processing equipment. Assembles fittings, valves, bowls, plates, disks, impeller shaft, and other parts to equipment with wrench to prepare for operation. Turns valves to pump sterilizing solution and rinse water through pipes and equipment and spray vats with further boil syrup received from evaporators till syrup has crystallized to"
8160.3700,,"proper point. Creates vacuum in pan by steam ejector; operates intake valve to fill pan to proper level with syrup from evaporators; opens exhaust or live steam in valve to let into pan hot steam to boil syrup to required density till it runs into massecuite (thick mixture of crystals and in syrup); keeps watch on and regulates temperature; pressure gauge etc. to maintain correct boiling pressure; create examines sample periodically, on clean into glass slide to check visually against light or boiling to feel by touch to determine if crystals have formed, as desired; takes in further as seed i.e., grains of required size, obtained from earlier operation, more water to thin juice or syrup and re-boils, if necessary, to make specific type of massecuite; manipulates levers and valves to break the vacuum and shut steam; opens slide valve to drop massecuite into crystallisers below. May distribute or transfer syrup containing grains to other pans as required for making specific type of line to massecuite. May clean pan with steam. keeps May be designated as HEAD PAN MAN, OR of PAN IN CHARGE, if engaged on desired speed; cleans tank strainer frequently to maintain easy flow of juice in pumping. May regulate flow of juice in bottom tank and operate pump, if necessary. May be designated as FIRST/SECOND CARBONATION STORAGE TANK ATTENDANT if engaged on first or second carbonation tank. ISCO 08 Unit Group Details: Code 8160 Title Food and Related Products Machine Operators 8160.5100 Sulphitation Man, Sugar Sulphitation Man, Sugar; Sulphitation Tank Attendant; Sulphitation Tank Mate tends sulphitation tank for passing sulphur dioxide into filtered juice to further clarify and bleach it before further processing. Operates valve to let in juice, after filtration, into sulphitation tank up to prescribed level; tests specific gravity, if required, with hydrometer; manipulates valves to admit required quantity of milk of lime and sulphur dioxide into tank and allows it to be mixed with juice, takes out determine sufficiency of lime and sulphur, adding needed ingredients, where"
8160.5000,"necessary. Conducts second sulphitation,","in similar manner, by taking in syrup, instead of juice, coming in from evaporators, by passing sulphur dioxide to clarify it and by taking out samples in test tubes to test with BTB paper. Opens delivery valve to pump out sulphurated juice or syrup to storage tank or clarifier through juice heater. Conducts periodical manipulates valves to control flow of hot air for maintaining proper temperature in drying chamber; checks by touch, smell and sight whether leaves have been agent) in water; adds chemicals to prevent decomposition; transfers size to storage tank or tub; dips individual sheets in match boxes, splints, plywood, etc. Selects and fits cutting required sizes of veneer and scouring of grooves on it for folding it. Adjusts and fastens billet on machine by"
8181,Glass and Ceramics Plant,Operators 8181.0200
8182,Steam-Engine and Boiler Operators,"Machine Man, Sheet Glass"
8183,"Packing, Bottling and Labelling","Machine Operators Machine Man, Sheet Glass sets and"
8189,Gem and Jewellery Machine,"operates glass-drawing machine that Operators produces continuous sheets of window Title Steam-Engine and Boiler Operators 8182.0500 Serang, Engine Room/Engine Bosun Serang, Engine Room controls and directs work of engine room crew on board ship. Allocates duties to engine room crew; and ensures that engine room, floor plates and paint work have been properly cleaned, and spares are properly greased and stored; supervises work of Tindal, Engine Room; Stoker, Ship; assists ships' engineers in maintenance work and supervises cleaning of boilers, washing of tank tops, chipping and scrapping in engine-room etc.; maintains discipline amongst engine room crew. May perform QP NOS Reference ELE/Q5304 QP NOS Name Reflow-oven Soldering Oper NSQF Level 3 ISCO 08 Unit Group Details: Equipment Assemblers"
8212.1603,,"8212.1605 Stencil Printing Operator Also called ‘Stencil Masking Operato ‘Screen Printer’, the Stencil Pri Operator uses a manual or auto stencil printer to apply solder past printed circuit boards (PCB). individual at work is responsible applying solder paste on PCBs t assembled with SMT components for soldering at the wave soldering or r oven stage. Qualification Pack Details: QP NOS Reference ELE/Q5201 QP NOS Name Stencil Printing Operator NSQF Level 3 capacitors. Qualification Pack Details: QP NOS Reference ELE/Q0104 QP NOS Name Vacuum Plant Operator ISCO 08 Unit Group Details: Code 8212"
8212.1802,,"Title Electrical and Electronic Equipment Assemblers 8212.1804 Coating, Curing and Marking Operator Coating, Curing and Marking Operator i responsible for spraying the capacito with zinc or aluminium oxide or dip coating the resistor, stabilising th capacitor or resistor through curing an marking the finished capacitor or resister The individual at work operates th spraying machine, curing furnace as wel as stamping machine or inkjet printer. Qualification Pack Details: QP NOS Reference ELE/Q0110 QP NOS Name Coating, Curing and QP NOS Reference ELE/Q0105 QP NOS Name Manual Soldering Technician NSQF Level 3 ISCO 08 Unit Group Details: Code 8212 Title Electrical and Electronic Equipment Assemblers Wave Soldering Machine Operat"
8212.1806,operates the wave soldering machine,solder the assembled components printed circuit board (PCB). The individ at work is responsible for setting operating and maintaining the wa soldering machine in order to solder t different lots of assembled PCBs as prescribed quality standards. Qualification Pack Details: QP NOS Reference ELE/Q5303 QP NOS Name Wave Soldering Machine Operato NSQF Level 3 QP NOS Reference ELE/Q7301 QP NOS Name UPS Assembly Operator NSQF Level 3 ISCO 08 Unit Group Details: Code 8212 Title Electrical and Electronic 8212.2101 Final Assembly Operator-Magnetics
8212.2002,,"Final Assembly Operator-Magnetics is responsible for completing the assembly of wound coils on lamination for SMPS transformer, lighting coil or chokes. The individual at work fills the core, tapes and tests the assembly, applies varnish, marks and packs. Qualification Pack Details: QP NOS Reference ELE/Q0114 QP NOS Name Final Assembly Operator-Magnetics NSQF Level 3 ISCO 08 Unit Group Details: and soldering them. Qualification Pack Details: QP NOS Reference ELE/Q5802 QP NOS Name Module Soldering Operator ISCO 08 Unit Group Details: Code 8212"
8212.2202,,"Title Electrical and Electronic Equipment Assemblers 8212.2302 Module Soldering Operator Module Soldering Operator is responsible for connecting solar cells by soldering to form a solar module. The individual at work connects the positive end of a solar cell to a negative end of another solar cell by soldering and repeats the process to interconnect all the required number of solar cells in an array to form the solar module. Qualification Pack Details: QP NOS Reference ELE/Q5801 Routing Operator is also called ‘Punching Operator’, the Drilling Operator drills the QP NOS Name Electronic Sub Assembly"
